chapter	edited	apparatus_entries	file
SS.3.7	no	228	03-su.sa/provisional-edition_sarirasthana.xml
SS.3.8	no	248	03-su.sa/provisional-edition_sarirasthana.xml
SS.3.9	yes	148	03-su.sa/provisional-edition_sarirasthana.xml
SS.3.10	no	499	03-su.sa/provisional-edition_sarirasthana.xml
SS.3.trailer	no	2	03-su.sa/provisional-edition_sarirasthana.xml
SS.4.1	no	501	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.2	no	375	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.3	no	238	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.4	yes	151	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.5	no	287	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.6	no	295	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.7	no	235	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.8	no	207	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.9	no	326	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.10	no	258	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.11	no	133	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.12	no	136	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.13	no	143	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.14	no	217	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.15	no	200	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.16	no	120	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.17	no	212	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.18	no	223	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.19	no	246	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.20	no	295	04-su.ci-1-20/provisional-edition_cikitsasthana_01-20.xml
SS.4.21	no	49	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.22	no	280	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.23	no	107	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.24	no	490	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.25	no	206	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.26	no	141	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.27	no	130	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.28	no	143	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.29	no	136	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.30	no	200	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.31	no	275	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.32	no	160	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.33	no	254	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.34	no	358	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.35	no	163	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.36	no	246	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.37	no	410	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.38	no	464	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.39	no	123	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.4.40	no	393	04-su.ci-21-40/provisional-edition_cikitsasthana_21-40.xml
SS.5.1	yes	270	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.2	yes	230	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.3	yes	230	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.4	yes	330	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.5	yes	327	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.6	yes	90	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.7	yes	236	05-su.ka/provisional-edition_kalpasthana.xml
SS.5.8	yes	555	05-su.ka/provisional-edition_kalpasthana.xml
SS.6.1	no	239	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.2	no	71	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.3	no	158	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.4	no	55	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.5	no	47	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.6	no	106	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.7	no	206	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.8	no	72	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.9	no	99	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.10	no	109	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.11	no	119	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.12	no	221	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.13	no	63	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.14	no	38	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.15	no	141	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.16	no	48	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.17	yes	432	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.18	no	429	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.19	no	101	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.20	no	91	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.21	no	186	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.22	no	95	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.23	no	91	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.24	no	160	06-su.ut-39-24-57-kayacikitsa/provisional-edition_uttaratantra-39-24-57.xml
SS.6.25	no	75	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.26	no	178	06-su.ut-01-26-salakya/provisional-edition_uttaratantra-01-26.xml
SS.6.27	no	115	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.28	no	66	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.29	no	30	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
SS.6.30	no	38	06-su.ut-27-37-kumara/provisional-edition_uttaratantra-27-37.xml
